id,name,title,description,temporal_composition_schema,composite_function_id,grid_ref_sys_id,collection_type,metadata,is_public,start_date,end_date,extent,version,version_predecessor,version_successor,created,updated
1,CBERS4A_MUX_L2_DN,CBERS4A_MUX_L2_DN,CBERS4A MUX Level2 DN dataset,,,,collection,,True,2019-12-28 14:15:08+00:00,2021-01-10 13:24:19+00:00,0103000020E6100000010000000500000083328D2617A651C08E23D6E25300D13F83328D2617A651C073BB97FBE4525140800EF3E505982F4073BB97FBE4525140800EF3E505982F408E23D6E25300D13F83328D2617A651C08E23D6E25300D13F,1,,,2020-12-01 13:47:34.388482+00:00,2020-12-01 13:47:34.388482+00:00
2,CBERS4A_MUX_L2_SR,CBERS4A_MUX_L2_SR,CBERS4A MUX Level2 SR dataset,,,,collection,,True,2019-12-27 13:55:50+00:00,2021-01-10 13:24:19+00:00,0103000020E610000001000000050000005396218E756955C08716D9CEF70B50C05396218E756955C0386744696F3C524021B0726891E96140386744696F3C524021B0726891E961408716D9CEF70B50C05396218E756955C08716D9CEF70B50C0,1,,,2020-12-01 13:47:34.388482+00:00,2020-12-01 13:47:34.388482+00:00
3,CBERS4A_MUX_L4_DN,CBERS4A_MUX_L4_DN,CBERS4A MUX Level4 DN dataset,,,,collection,,True,2019-12-27 14:05:18+00:00,2019-12-27 14:05:18+00:00,0103000020E61000000100000005000000A148F7730A484DC0CDAFE600C1E83DC0A148F7730A484DC0B8CCE9B298D83CC034F790F0BDAD4CC0B8CCE9B298D83CC034F790F0BDAD4CC0CDAFE600C1E83DC0A148F7730A484DC0CDAFE600C1E83DC0,1,,,2020-12-01 13:47:34.413328+00:00,2020-12-01 13:47:34.413328+00:00
4,CBERS4A_MUX_L4_SR,CBERS4A_MUX_L4_SR,CBERS4A MUX Level4 SR dataset,,,,collection,,True,2019-12-27 13:58:39+00:00,2020-11-27 14:20:24+00:00,0103000020E6100000010000000500000035EF3845474E53C0545227A0892042C035EF3845474E53C07D3F355EBAD942407C61325530C244407D3F355EBAD942407C61325530C24440545227A0892042C035EF3845474E53C0545227A0892042C0,1,,,2020-12-01 13:47:34.413328+00:00,2020-12-01 13:47:34.413328+00:00
5,CBERS4A_WFI_L2_DN,CBERS4A_WFI_L2_DN,CBERS4A WFI Level2 DN dataset,,,,collection,,True,2019-12-30 13:17:17+00:00,2020-11-10 13:49:43+00:00,0103000020E610000001000000050000009BC6F65AD0DB4BC05F0B7A6F0CA53FC09BC6F65AD0DB4BC02CB7B41A12B7FA3F5ED905836BF042C02CB7B41A12B7FA3F5ED905836BF042C05F0B7A6F0CA53FC09BC6F65AD0DB4BC05F0B7A6F0CA53FC0,1,,,2020-12-01 13:47:34.414378+00:00,2020-12-01 13:47:34.414378+00:00
6,CBERS4A_WFI_L2_SR,CBERS4A_WFI_L2_SR,CBERS4A WFI Level2 SR dataset,,,,collection,,True,2019-12-27 13:56:15+00:00,2020-11-27 14:14:59+00:00,0103000020E61000000100000005000000D656EC2FBBD354C00F9C33A2B4974FC0D656EC2FBBD354C0E09C11A5BDC55140D34D6210584D6240E09C11A5BDC55140D34D6210584D62400F9C33A2B4974FC0D656EC2FBBD354C00F9C33A2B4974FC0,1,,,2020-12-01 13:47:34.414378+00:00,2020-12-01 13:47:34.414378+00:00
7,CBERS4A_WFI_L4_DN,CBERS4A_WFI_L4_DN,CBERS4A WFI Level4 DN dataset,,,,collection,,True,2019-12-27 14:01:24+00:00,2019-12-27 14:01:24+00:00,0103000020E61000000100000005000000C53A55BE675A4DC056D80C70416A32C0C53A55BE675A4DC0B4E73235091626C0978BF84ECCEA4AC0B4E73235091626C0978BF84ECCEA4AC056D80C70416A32C0C53A55BE675A4DC056D80C70416A32C0,1,,,2020-12-01 13:47:34.415317+00:00,2020-12-01 13:47:34.415317+00:00
8,CBERS4A_WFI_L4_SR,CBERS4A_WFI_L4_SR,CBERS4A WFI Level4 SR dataset,,,,collection,,True,2020-12-07 14:03:45+00:00,2020-12-07 14:03:45+00:00,0103000020E61000000100000005000000DC12B9E00CD24AC0AC1BEF8E8CD5E53FDC12B9E00CD24AC0496760E46515204085E97B0DC18148C0496760E46515204085E97B0DC18148C0AC1BEF8E8CD5E53FDC12B9E00CD24AC0AC1BEF8E8CD5E53F,1,,,2020-12-01 13:47:34.415317+00:00,2020-12-01 13:47:34.415317+00:00
9,CBERS4A_WPM_L2_DN,CBERS4A_WPM_L2_DN,CBERS4A WPM Level2 DN dataset,,,,collection,,True,2020-04-01 13:19:46+00:00,2020-08-16 22:00:33+00:00,0103000020E610000001000000050000001F813FFCFC2462C04583143C855CD03F1F813FFCFC2462C03A4030478F685240AF27BA2EFC4844C03A4030478F685240AF27BA2EFC4844C04583143C855CD03F1F813FFCFC2462C04583143C855CD03F,1,,,2020-12-01 13:47:34.416189+00:00,2020-12-01 13:47:34.416189+00:00
10,CBERS4A_WPM_L2_SR,CBERS4A_WPM_L2_SR,CBERS4A WPM Level2 SR dataset,,,,collection,,True,2019-12-27 13:55:49+00:00,2020-11-27 14:10:14+00:00,0103000020E61000000100000005000000EC2FBB270F6755C0280F0BB5A6E142C0EC2FBB270F6755C07D3F355EBA3D52407D3F355EBAE961407D3F355EBA3D52407D3F355EBAE96140280F0BB5A6E142C0EC2FBB270F6755C0280F0BB5A6E142C0,1,,,2020-12-01 13:47:34.416189+00:00,2020-12-01 13:47:34.416189+00:00
11,CBERS4A_WPM_L4_DN,CBERS4A_WPM_L4_DN,CBERS4A WPM Level4 DN dataset,,,,collection,,True,2019-12-27 13:58:50+00:00,2020-11-26 15:33:23+00:00,0103000020E61000000100000005000000B84082E2C74C53C0956588635D7C42C0B84082E2C74C53C0401878EE3D9C1E40713D0AD7A3A841C0401878EE3D9C1E40713D0AD7A3A841C0956588635D7C42C0B84082E2C74C53C0956588635D7C42C0,1,,,2020-12-01 13:47:34.417071+00:00,2020-12-01 13:47:34.417071+00:00
12,CBERS4A_WPM_L4_SR,CBERS4A_WPM_L4_SR,CBERS4A WPM Level4 SR dataset,,,,collection,,True,2019-12-27 13:58:50+00:00,2020-11-26 15:33:23+00:00,0103000020E61000000100000005000000B84082E2C74C53C0956588635D7C42C0B84082E2C74C53C0401878EE3D9C1E40713D0AD7A3A841C0401878EE3D9C1E40713D0AD7A3A841C0956588635D7C42C0B84082E2C74C53C0956588635D7C42C0,1,,,2020-12-01 13:47:34.417071+00:00,2020-12-01 13:47:34.417071+00:00
